Продукт,Калорийность,Белки,Жиры,Углеводы,Категория
"Говядина, фаршированная грибами","326,5 кКал","21,1 г","25,5 г","3,4 г",вторые блюда
Голубцы овощные,"190,9 кКал","3,4 г","16,7 г","7,3 г",вторые блюда
Горбуша в сливках,"129,5 кКал","8,8 г","9,5 г","2,4 г",вторые блюда
Горячий паштет из печени,"119,4 кКал","10,2 г","5,6 г","7,5 г",вторые блюда
Грибная запеканка,"145,2 кКал","4,7 г","10,1 г","9,5 г",вторые блюда
Грибная икра,"88,4 кКал","2,2 г","6,1 г","6,5 г",вторые блюда
Грибные пельмени,"185,8 кКал","5,5 г","13,3 г","11,8 г",вторые блюда
Грибные ушки,"341,7 кКал","17,2 г","20,4 г","23,8 г",вторые блюда
"Грибочки калевальские (рыба, фаршированная яйцом, - карельское национальное блюдо)","185,7 кКал","11,8 г","9,2 г","14,8 г",вторые блюда
Грибы в сметанном соусе,"204,2 кКал",5 г,"18,9 г","3,8 г",вторые блюда
Грибы в сметанном соусе,"230,5 кКал","4,8 г","21,8 г","3,9 г",вторые блюда
Грибы жареные,"162,1 кКал","4,6 г","11,5 г","10,7 г",вторые блюда
Грибы по-деревенски,"51,1 кКал","1,2 г","3,7 г","3,5 г",вторые блюда
Грибы по-селянски,180 кКал,"1,6 г","18,4 г","2,1 г",вторые блюда
Грибы с квашеной капустой,"138,9 кКал","2,8 г","10,9 г",8 г,вторые блюда
Грибы с квашеной капустой,"58,7 кКал","1,8 г","4,6 г","2,6 г",вторые блюда
"Грудинка, фаршированная кашей","283,8 кКал","16,4 г","18,5 г","13,7 г",вторые блюда
Гуляш,326 кКал,"24,9 г",22 г,"7,7 г",вторые блюда
Гуляш с капустой,"81,3 кКал","5,9 г","5,4 г","2,5 г",вторые блюда
"Гусь, утка фаршированные","437,2 кКал","14,5 г","38,1 г","9,6 г",вторые блюда
Драники,"69,3 кКал",3 г,"0,9 г",13 г,вторые блюда
Драчена,"196,7 кКал","11,4 г","14,5 г","5,5 г",вторые блюда
Дрочена,253 кКал,"7,7 г","22,3 г","5,8 г",вторые блюда
"Еда ""Быстрая""","241,7 кКал","10,7 г","6,7 г","36,9 г",вторые блюда
Ежики сибирские,"184,7 кКал","10,1 г","9,6 г","15,5 г",вторые блюда
Жал-баур (шашлык из печени - кабардино-балкарское национальное блюдо),"383,5 кКал","10,4 г","36,4 г","3,8 г",вторые блюда
Жареная курица и бульон,212 кКал,"15,8 г","15,8 г","1,7 г",вторые блюда
Жареная рыба под маринадом,"215,4 кКал","19,5 г","11,4 г","9,4 г",вторые блюда
Жаренный картофель с колбасой,"83,9 кКал","2,8 г","5,4 г","6,5 г",вторые блюда
"Жаркое ""Вкусное""","179,4 кКал","11,2 г","6,9 г","19,4 г",вторые блюда
"Жаркое ""Казань"" (жаркое с черносливом - татарское национальное блюдо)","227,6 кКал","12,8 г","14,6 г","11,9 г",вторые блюда
Жаркое из кролика (зайчатины),"182,1 кКал","13,5 г","12,9 г","3,2 г",вторые блюда
Жаркое из курицы по-русски,"368,8 кКал","15,4 г","30,1 г","9,6 г",вторые блюда
Жаркое из свинины,"233,1 кКал","10,6 г","20,9 г","0,7 г",вторые блюда
Жаркое из субпродуктов по-ингушски,"121,3 кКал",16 г,"3,3 г","7,3 г",вторые блюда
Жаркое из фаршированной свинины,102 кКал,"3,3 г","6,7 г","7,6 г",вторые блюда
Жаркое из цыплят и субпродуктов кур,"280,9 кКал","14,6 г","21,7 г","7,2 г",вторые блюда
Жаркое по-гусарски,"153,6 кКал","13,4 г","9,8 г","3,1 г",вторые блюда
Жаркое по-домашнему,248 кКал,"16,2 г","13,8 г","15,7 г",вторые блюда
Жаркое с грибами по-русски,"205,4 кКал","11,2 г","13,8 г","9,8 г",вторые блюда
Запеканка из икры частиковых рыб (национальное блюдо народов Севера),"122,8 кКал","8,3 г","5,1 г","11,7 г",вторые блюда
Запеканка из кабачков,"142,3 кКал","5,2 г","12,1 г","3,3 г",вторые блюда
Запеканка из лапши со смородиной,"164,4 кКал","4,5 г","6,1 г","24,3 г",вторые блюда
Запеканка из макарон с творогом,"241,8 кКал","11,6 г","9,2 г",30 г,вторые блюда
Запеканка из отварного картофеля,133 кКал,"2,8 г","10,5 г","7,2 г",вторые блюда
Запеканка из риса с ревенем,"155,3 кКал","3,3 г","6,2 г","23,1 г",вторые блюда
Запеканка из спаржи и риса,"137,5 кКал","2,7 г","9,2 г","11,7 г",вторые блюда
Запеканка из творога,"299,7 кКал","12,4 г","20,8 г","16,7 г",вторые блюда
Запеканка из творога и гречневой крупы,"168,3 кКал","7,2 г","7,3 г","19,6 г",вторые блюда
Запеканка из тыквы,"227,8 кКал","4,4 г","12,9 г",25 г,вторые блюда
Запеканка из цветной капусты с сыром,"160,7 кКал","6,4 г","12,3 г","6,6 г",вторые блюда
Запеканка из черного хлеба,"180,3 кКал","2,3 г","11,6 г","17,9 г",вторые блюда
Запеканка из яблок,"147,7 кКал","0,3 г",8 г,"19,9 г",вторые блюда
Запеканка капустная,"161,6 кКал","6,8 г","12,9 г","4,9 г",вторые блюда
Запеканка картофельная или рулет картофельный с мясом или субпродуктами,"180,3 кКал","10,6 г","9,9 г","13,1 г",вторые блюда
Запеканка морковная с творогом и без творога,"192,6 кКал","6,9 г","13,4 г",12 г,вторые блюда
Запеканка овощная,90 кКал,3 г,"6,7 г","4,8 г",вторые блюда
Запеканка рисовая с творогом,"200,3 кКал","4,5 г","8,8 г","27,4 г",вторые блюда
"Запеканка рисовая, манная, пшенная, пшеничная","147,8 кКал","3,3 г","6,3 г","20,8 г",вторые блюда
Запеканка со свежими плодами,"157,8 кКал",3 г,"2,6 г","32,6 г",вторые блюда
Запеченная маринованная курица,"201,9 кКал","10,3 г","16,8 г","2,6 г",вторые блюда
Запеченная цветная капуста,99 кКал,"3,8 г","7,9 г","3,4 г",вторые блюда
Запеченные творожные клецки,"214,1 кКал",10 г,17 г,"5,6 г",вторые блюда
Заячьи шкурки,"35,9 кКал","1,6 г","0,5 г","6,6 г",вторые блюда
Зразы донские,"337,1 кКал","19,1 г","11,3 г","42,5 г",вторые блюда
Зразы картофельные,"189,7 кКал","4,5 г","12,4 г",16 г,вторые блюда
"Зразы картофельные с фаршем из пасты ""Океан""","174,8 кКал","5,5 г","10,7 г",15 г,вторые блюда
Зразы отбивные,"266,2 кКал","24,4 г","15,2 г","8,5 г",вторые блюда
Зразы рубленые,"303,4 кКал","18,1 г","20,7 г","11,9 г",вторые блюда
Зразы рыбные с черносливом по-российски,122 кКал,"13,8 г","3,4 г","9,7 г",вторые блюда
Имам баилди,"153,2 кКал","8,2 г","11,7 г","4,2 г",вторые блюда
Имбирно-медовый цыпленок,"193,1 кКал","14,5 г","11,1 г","9,5 г",вторые блюда
Индейка с грибами,"221,4 кКал","10,5 г","11,9 г","19,3 г",вторые блюда
"Кабачки и цветная капуста, запеченные под соусом","179,7 кКал","2,8 г",16 г,"6,6 г",вторые блюда
Кабачки с помидорами,"104,4 кКал","1,3 г","8,1 г","7,1 г",вторые блюда
Кабачки улыбаются,"57,5 кКал","1,4 г","2,9 г","6,9 г",вторые блюда
Кабачки фаршированные в томатном соку,"47,1 кКал","1,6 г","0,4 г",10 г,вторые блюда
Кабачки фаршированные мясом,"115,9 кКал","5,5 г","8,8 г","3,9 г",вторые блюда
"Кабачки, баклажаны, перец или помидоры, фаршированные мясом или рисом","154,9 кКал",10 г,"8,6 г",10 г,вторые блюда
Калаатикко (из картофеля),"119,4 кКал",4 г,"8,4 г","7,5 г",вторые блюда
Калитки картофельные,"157,1 кКал","3,4 г","8,1 г","18,9 г",вторые блюда
Кальмары жареные,"174,6 кКал","9,9 г","14,4 г","1,4 г",вторые блюда
Капуста отварная с маслом или соусом,92 кКал,"1,7 г","7,8 г","4,1 г",вторые блюда
Капуста по-охотничьи,"65,8 кКал","2,3 г","2,4 г","9,5 г",вторые блюда
Капуста со сметаной в горшочке,"119,4 кКал","1,6 г","11,3 г","2,9 г",вторые блюда
Капуста тушеная,"102,2 кКал","2,7 г","5,9 г","10,2 г",вторые блюда
Капуста тушеная,"99,3 кКал","2,6 г","5,8 г","9,8 г",вторые блюда
Капуста тушеная с грибами,"132,1 кКал","8,1 г","7,8 г","7,9 г",вторые блюда
"Капуста, тушенная с лимонным соком","79,6 кКал","1,1 г","5,2 г","7,6 г",вторые блюда
"Капуста, тушенная со свеклой","56,4 кКал","1,7 г","2,4 г","7,4 г",вторые блюда
Капустные котлеты,"99,4 кКал","6,4 г","3,5 г","11,3 г",вторые блюда
Капустные рулетики,160 кКал,"3,1 г","15,4 г","2,4 г",вторые блюда
Капустный пирог,158 кКал,"4,3 г","12,7 г",7 г,вторые блюда
Карп по-австрийски,"150,1 кКал","11,7 г","10,9 г","1,4 г",вторые блюда
"Картофельные котлеты, запеченные под соусом грибным или сметанным соусом","228,9 кКал","4,1 г",19 г,11 г,вторые блюда
Картофельные лепешки (национальное блюдо республики Коми),"182,7 кКал","4,7 г","7,2 г","26,5 г",вторые блюда
Картофельные оладьи с сыром,178 кКал,"5,4 г","11,6 г","13,8 г",вторые блюда
Картофельные оладьи со свежей капустой,"185,3 кКал","3,7 г","13,5 г",13 г,вторые блюда
Картофельный хворост,"227,9 кКал","5,3 г","11,5 г","27,5 г",вторые блюда
Кезан-кебаб,"128,3 кКал","5,5 г","8,5 г",8 г,вторые блюда
Кильки с картофельным салатом и яйцом,"114,6 кКал","6,9 г","6,1 г","8,6 г",вторые блюда
Киприана,"294,3 кКал","15,6 г","24,9 г","2,1 г",вторые блюда
Кисло-сладкая капуста,"75,7 кКал","1,5 г","5,3 г",6 г,вторые блюда
Кольраби с томатным соусом,"80,6 кКал","4,9 г","4,6 г","5,3 г",вторые блюда
