,Product,Portion,Category,Kkal,Protein,Fat,Carbs
533,Крем из ржаного хлеба,150,Десерт,154.5,4.1,5.7,23.1
534,Крем из смородины,150,Десерт,176.4,3.6,3.1,35.6
535,Крем из черники,150,Десерт,119.1,5.7,2.5,19.6
536,Крем твороженный,150,Десерт,135.8,3.8,3.0,24.8
537,Крем ягодный,150,Десерт,179.6,3.3,11.3,17.2
538,Крем-крокант,150,Десерт,199.8,4.6,6.5,32.8
539,Крем-мокко,150,Десерт,193.9,5.7,8.9,24.4
540,Кулага,150,Десерт,92.7,1.4,0.4,22.1
541,Лантутики,150,Десерт,227.9,8.4,12.1,22.7
542,Лимонное пирожное,150,Десерт,219.9,5.3,12.2,23.8
543,Лимонный крем,150,Десерт,177.4,6.5,10.2,15.8
544,Лимонный снежок,150,Десерт,218.6,7.6,4.8,38.7
545,Лимонный соус,150,Десерт,149.9,1.5,13.3,6.4
546,Лимонный соус,150,Десерт,173.1,4.1,14.9,6.1
547,Лимонный соус,150,Десерт,56.0,0.03,0.003,14.9
548,Лимонный творог,150,Десерт,238.8,9.8,13.9,19.7
549,"Малина или земляника с молоком, сметаной или сливками",150,Десерт,78.9,1.8,1.9,14.6
550,Мармелад из абрикосов,150,Десерт,198.9,0.5,0.05,52.4
551,Мармелад из абрикосов в кожице,150,Десерт,183.6,0.5,0.06,48.3
552,Мармелад из брусники и яблок,150,Десерт,112.7,0.5,0.3,28.7
553,Мармелад из черники,150,Десерт,57.6,1.0,0.6,13.0
554,Медовая горка,150,Десерт,270.5,5.8,1.5,62.5
555,"Мороженое ""Сюрприз""",150,Десерт,194.2,3.6,6.3,32.7
556,Мороженое с плодами или ягодами консервированными,150,Десерт,222.9,4.5,15.5,17.5
557,Мусс из растворимого кофе,150,Десерт,104.3,4.1,1.5,19.9
558,Мусс из ревеня,150,Десерт,87.6,0.9,0.07,22.2
559,Мусс из ржаной муки,150,Десерт,94.9,0.9,0.1,24.1
560,Мусс из смородины,150,Десерт,113.3,2.1,0.06,27.8
561,Мусс из тыквы,150,Десерт,91.7,2.1,0.07,22.1
562,Мусс клюквенный,150,Десерт,81.9,2.3,0.06,19.3
563,Мусс лимонный,150,Десерт,115.1,2.4,0.03,28.1
564,Мусс яблочный (на крупе манной),150,Десерт,81.1,0.9,0.2,20.3
565,Оладьи,150,Десерт,201.1,7.4,8.9,24.5
566,Оладьи,150,Десерт,322.2,10.0,13.6,42.7
567,Оладьи из моркови,150,Десерт,141.2,3.0,9.8,11.0
568,Оладьи из тыквы,150,Десерт,180.2,4.4,13.0,12.2
569,Оладьи с изюмом,150,Десерт,335.0,8.4,15.0,44.4
570,Оладьи с яблоками,150,Десерт,113.8,4.3,2.6,19.5
571,Оладьи с яблоками,150,Десерт,306.2,9.2,13.3,39.8
572,Омлет с яблоками,150,Десерт,121.4,3.5,4.9,16.8
573,Омлет с яблоками,150,Десерт,177.8,8.6,14.1,4.4
574,Омлет с яблоками,150,Десерт,86.0,3.5,5.1,6.9
575,Ореховый крем,150,Десерт,105.9,5.4,4.3,12.2
576,Орешки творожные по-русски,150,Десерт,271.2,8.9,17.0,22.1
577,Пастила из ежевики,150,Десерт,174.0,0.8,0.3,44.8
578,Пастила из калины,150,Десерт,197.5,0.0,0.0,52.7
579,"Пирожное ""Кокетка""",150,Десерт,418.0,18.7,29.4,21.0
580,Плавающие острова,150,Десерт,94.9,3.8,3.1,13.8
581,Пудинг из ревеня,150,Десерт,187.0,4.5,6.3,29.9
582,Пудинг из риса и ревеня,150,Десерт,155.0,3.6,7.9,18.6
583,Пудинг из сыра,150,Десерт,184.2,9.0,13.2,7.9
584,"Пудинг из творога, запеченный",150,Десерт,312.5,11.0,19.7,24.3
585,Пудинг на сметане,150,Десерт,254.2,5.8,15.3,24.9
586,Пудинг ореховый,150,Десерт,229.4,7.1,7.7,35.1
587,"Пудинг рисовый, манный, пшенный",150,Десерт,189.6,3.4,5.1,34.7
588,Пудинг с грушами,150,Десерт,131.2,3.6,3.5,22.7
589,Пудинг сливочный с орехами,150,Десерт,307.0,7.6,20.0,25.6
590,Пудинг сухарный,150,Десерт,213.2,6.4,5.1,37.8
591,Ревень с сахаром,150,Десерт,99.6,0.5,0.08,25.8
592,Ревень с сухарями и сливками,150,Десерт,100.4,1.4,6.5,9.8
593,Самбук абрикосовый,150,Десерт,115.1,2.0,0.07,28.4
594,Самбук из абрикосов,150,Десерт,86.5,1.7,0.06,21.1
595,Самбук яблочный или сливовый,150,Десерт,90.3,1.8,0.2,21.6
596,Сгущенка по-русски,150,Десерт,120.4,2.3,2.5,23.7
597,Сельдерей на десерт,150,Десерт,0.0,0.0,0.0,0.0
598,Сладкий молочный соус,150,Десерт,84.1,3.4,2.8,12.1
599,Сладкое блюдо из риса и творога,150,Десерт,236.4,11.1,5.7,37.6
600,Сливки или сметана взбитые,150,Десерт,231.2,2.4,17.3,17.5
601,Сливовый соус,150,Десерт,42.4,0.09,0.03,11.1
602,Смородина с медом и миндалем,150,Десерт,191.4,2.6,7.2,31.0
603,"Смородиновый ""снег""",150,Десерт,111.5,1.3,0.1,28.1
604,Снежки,150,Десерт,138.2,4.0,3.7,23.7
605,Соус абрикосовый,150,Десерт,250.9,0.5,0.06,66.2
606,"Соус земляничный или малиновый, или вишневый",150,Десерт,244.5,0.5,0.2,64.1
607,Соус из брусники и сыра,150,Десерт,208.5,9.1,16.3,6.8
608,Соус из изюма и миндаля,150,Десерт,144.2,4.4,6.8,17.4
609,Соус из какао,150,Десерт,95.9,3.9,3.5,13.0
610,Соус из крыжовника,150,Десерт,35.0,0.4,0.2,8.5
611,Соус из яблок и брусники,150,Десерт,174.9,0.3,0.3,45.7
612,Соус клюквенный,150,Десерт,67.3,0.08,0.03,17.8
613,Соус сметанный,150,Десерт,382.0,3.3,35.3,13.7
614,Соус яблочный,150,Десерт,61.1,0.1,0.09,16.0
615,Суфле,150,Десерт,203.2,5.4,12.2,19.1
616,"Суфле ванильное, шоколадное, ореховое",150,Десерт,212.1,5.6,13.5,18.2
617,Сырники с морковью,150,Десерт,248.0,9.6,14.1,22.1
618,Творог апельсиновый,150,Десерт,196.8,6.1,11.7,17.8
619,Творожный соус,150,Десерт,118.8,8.4,7.7,4.2
620,"Торт ""Вишня в сотах""",150,Десерт,234.2,3.5,15.0,22.7
621,"Торт ""Катерина""",150,Десерт,381.2,4.7,22.9,41.6
622,"Торт ""Медовый""",150,Десерт,322.8,3.7,16.6,42.4
623,"Торт ""Мужской идеал""",150,Десерт,307.8,6.7,8.7,54.1
624,"Торт ""Негр""",150,Десерт,268.8,4.4,15.4,29.9
