,Product,Portion,Category,Kkal,Protein,Fat,Carbs
79,Крем ванильный из сметаны,150,Десерт,200.0,4.1,12.2,19.7
80,"Крем ванильный, шоколадный, кофейный",150,Десерт,174.2,4.5,10.6,16.2
81,Крем из клубники,150,Десерт,73.4,2.9,1.9,11.8
82,Крем из клюквы и тыквы,150,Десерт,178.8,3.8,6.7,27.6
83,Крем из ревеня,150,Десерт,174.9,2.1,6.6,28.5
84,Крем из ржаного хлеба,150,Десерт,154.5,4.1,5.7,23.1
85,Крем из смородины,150,Десерт,176.4,3.6,3.1,35.6
86,Крем из черники,150,Десерт,119.1,5.7,2.5,19.6
87,Крем твороженный,150,Десерт,135.8,3.8,3.0,24.8
88,Крем ягодный,150,Десерт,179.6,3.3,11.3,17.2
89,Крем-крокант,150,Десерт,199.8,4.6,6.5,32.8
90,Крем-мокко,150,Десерт,193.9,5.7,8.9,24.4
91,Кулага,150,Десерт,92.7,1.4,0.4,22.1
92,Лантутики,150,Десерт,227.9,8.4,12.1,22.7
93,Лимонное пирожное,150,Десерт,219.9,5.3,12.2,23.8
94,Лимонный крем,150,Десерт,177.4,6.5,10.2,15.8
95,Лимонный снежок,150,Десерт,218.6,7.6,4.8,38.7
96,Лимонный соус,150,Десерт,149.9,1.5,13.3,6.4
97,Лимонный соус,150,Десерт,173.1,4.1,14.9,6.1
98,Лимонный соус,150,Десерт,56.0,0.03,0.003,14.9
99,Лимонный творог,150,Десерт,238.8,9.8,13.9,19.7
100,"Малина или земляника с молоком, сметаной или сливками",150,Десерт,78.9,1.8,1.9,14.6
101,Мармелад из абрикосов,150,Десерт,198.9,0.5,0.05,52.4
102,Мармелад из абрикосов в кожице,150,Десерт,183.6,0.5,0.06,48.3
103,Мармелад из брусники и яблок,150,Десерт,112.7,0.5,0.3,28.7
104,Мармелад из черники,150,Десерт,57.6,1.0,0.6,13.0
105,Медовая горка,150,Десерт,270.5,5.8,1.5,62.5
106,"Мороженое ""Сюрприз""",150,Десерт,194.2,3.6,6.3,32.7
107,Мороженое с плодами или ягодами консервированными,150,Десерт,222.9,4.5,15.5,17.5
108,Мусс из растворимого кофе,150,Десерт,104.3,4.1,1.5,19.9
109,Мусс из ревеня,150,Десерт,87.6,0.9,0.07,22.2
110,Мусс из ржаной муки,150,Десерт,94.9,0.9,0.1,24.1
111,Мусс из смородины,150,Десерт,113.3,2.1,0.06,27.8
112,Мусс из тыквы,150,Десерт,91.7,2.1,0.07,22.1
113,Мусс клюквенный,150,Десерт,81.9,2.3,0.06,19.3
114,Мусс лимонный,150,Десерт,115.1,2.4,0.03,28.1
115,Мусс яблочный (на крупе манной),150,Десерт,81.1,0.9,0.2,20.3
116,Оладьи,150,Десерт,201.1,7.4,8.9,24.5
117,Оладьи,150,Десерт,322.2,10.0,13.6,42.7
118,Оладьи из моркови,150,Десерт,141.2,3.0,9.8,11.0
119,Оладьи из тыквы,150,Десерт,180.2,4.4,13.0,12.2
120,Оладьи с изюмом,150,Десерт,335.0,8.4,15.0,44.4
121,Оладьи с яблоками,150,Десерт,113.8,4.3,2.6,19.5
122,Оладьи с яблоками,150,Десерт,306.2,9.2,13.3,39.8
123,Омлет с яблоками,150,Десерт,121.4,3.5,4.9,16.8
124,Омлет с яблоками,150,Десерт,177.8,8.6,14.1,4.4
125,Омлет с яблоками,150,Десерт,86.0,3.5,5.1,6.9
126,Ореховый крем,150,Десерт,105.9,5.4,4.3,12.2
127,Орешки творожные по-русски,150,Десерт,271.2,8.9,17.0,22.1
128,Пастила из ежевики,150,Десерт,174.0,0.8,0.3,44.8
129,Пастила из калины,150,Десерт,197.5,0.0,0.0,52.7
130,"Пирожное ""Кокетка""",150,Десерт,418.0,18.7,29.4,21.0
131,Плавающие острова,150,Десерт,94.9,3.8,3.1,13.8
132,Пудинг из ревеня,150,Десерт,187.0,4.5,6.3,29.9
133,Пудинг из риса и ревеня,150,Десерт,155.0,3.6,7.9,18.6
134,Пудинг из сыра,150,Десерт,184.2,9.0,13.2,7.9
135,"Пудинг из творога, запеченный",150,Десерт,312.5,11.0,19.7,24.3
136,Пудинг на сметане,150,Десерт,254.2,5.8,15.3,24.9
137,Пудинг ореховый,150,Десерт,229.4,7.1,7.7,35.1
138,"Пудинг рисовый, манный, пшенный",150,Десерт,189.6,3.4,5.1,34.7
139,Пудинг с грушами,150,Десерт,131.2,3.6,3.5,22.7
140,Пудинг сливочный с орехами,150,Десерт,307.0,7.6,20.0,25.6
141,Пудинг сухарный,150,Десерт,213.2,6.4,5.1,37.8
142,Ревень с сахаром,150,Десерт,99.6,0.5,0.08,25.8
143,Ревень с сухарями и сливками,150,Десерт,100.4,1.4,6.5,9.8
144,Самбук абрикосовый,150,Десерт,115.1,2.0,0.07,28.4
145,Самбук из абрикосов,150,Десерт,86.5,1.7,0.06,21.1
146,Самбук яблочный или сливовый,150,Десерт,90.3,1.8,0.2,21.6
147,Сгущенка по-русски,150,Десерт,120.4,2.3,2.5,23.7
148,Сельдерей на десерт,150,Десерт,0.0,0.0,0.0,0.0
149,Сладкий молочный соус,150,Десерт,84.1,3.4,2.8,12.1
150,Сладкое блюдо из риса и творога,150,Десерт,236.4,11.1,5.7,37.6
151,Сливки или сметана взбитые,150,Десерт,231.2,2.4,17.3,17.5
152,Сливовый соус,150,Десерт,42.4,0.09,0.03,11.1
153,Смородина с медом и миндалем,150,Десерт,191.4,2.6,7.2,31.0
154,"Смородиновый ""снег""",150,Десерт,111.5,1.3,0.1,28.1
155,Снежки,150,Десерт,138.2,4.0,3.7,23.7
156,Соус абрикосовый,150,Десерт,250.9,0.5,0.06,66.2
157,"Соус земляничный или малиновый, или вишневый",150,Десерт,244.5,0.5,0.2,64.1
158,Соус из брусники и сыра,150,Десерт,208.5,9.1,16.3,6.8
159,Соус из изюма и миндаля,150,Десерт,144.2,4.4,6.8,17.4
160,Соус из какао,150,Десерт,95.9,3.9,3.5,13.0
161,Соус из крыжовника,150,Десерт,35.0,0.4,0.2,8.5
162,Соус из яблок и брусники,150,Десерт,174.9,0.3,0.3,45.7
163,Соус клюквенный,150,Десерт,67.3,0.08,0.03,17.8
164,Соус сметанный,150,Десерт,382.0,3.3,35.3,13.7
165,Соус яблочный,150,Десерт,61.1,0.1,0.09,16.0
166,Суфле,150,Десерт,203.2,5.4,12.2,19.1
167,"Суфле ванильное, шоколадное, ореховое",150,Десерт,212.1,5.6,13.5,18.2
168,Сырники с морковью,150,Десерт,248.0,9.6,14.1,22.1
169,Творог апельсиновый,150,Десерт,196.8,6.1,11.7,17.8
170,Творожный соус,150,Десерт,118.8,8.4,7.7,4.2
171,"Торт ""Вишня в сотах""",150,Десерт,234.2,3.5,15.0,22.7
172,"Торт ""Катерина""",150,Десерт,381.2,4.7,22.9,41.6
173,"Торт ""Медовый""",150,Десерт,322.8,3.7,16.6,42.4
174,"Торт ""Мужской идеал""",150,Десерт,307.8,6.7,8.7,54.1
175,"Торт ""Негр""",150,Десерт,268.8,4.4,15.4,29.9
176,"Торт ""Почти ""Прага""",150,Десерт,351.0,4.2,20.5,39.9
177,"Торт ""Прага""",150,Десерт,283.5,5.9,12.6,39.0
178,"Торт ""Снежная горка""",150,Десерт,150.1,1.0,11.4,11.6
179,"Торт ""Шоколадная мазурка""",150,Десерт,301.5,7.6,7.6,54.0
180,Торт бисквитный с орехами,150,Десерт,355.2,11.4,15.0,46.5
181,Торт Зебра»,150,Десерт,270.8,8.5,12.9,32.0
182,Торт из картофеля с творогом,150,Десерт,169.0,9.1,3.9,25.9
183,Торт из тыквы,150,Десерт,212.5,2.6,14.5,19.0
184,Торт картофельный,150,Десерт,190.5,5.6,5.7,31.2
185,Торт печёночный,150,Десерт,200.0,8.1,14.5,10.0
186,Торт Прага»,150,Десерт,326.5,6.5,17.3,38.7
187,Торт Черный принц»,150,Десерт,14.8,0.2,1.1,1.2
188,Тыква с орехами,150,Десерт,111.4,3.6,0.07,25.8
189,Тыква с ревенем,150,Десерт,51.7,0.8,0.09,12.8
190,Тыква с фруктами,150,Десерт,81.1,1.7,2.4,14.1
191,"Тыква, запеченная с фруктами, по-ижевски (удмуртское национальное блюдо)",150,Десерт,106.8,1.5,3.7,17.9
192,Тыквенный крем,150,Десерт,144.8,4.0,11.2,7.4
193,Фаршированные яблоки,150,Десерт,58.1,3.3,1.9,7.5
194,Фруктовый маседуан,150,Десерт,205.2,0.4,0.1,54.0
195,Холодное из абрикосов,150,Десерт,127.0,1.8,10.8,6.0
196,Чернослив со сливками или сметаной взбитыми,150,Десерт,271.8,2.5,12.6,39.6
197,Шоколадное мороженое,150,Десерт,268.8,4.4,15.8,29.1
198,Шоколадный крем,150,Десерт,272.5,3.8,12.7,38.1
199,Шоколадный пудинг,150,Десерт,192.4,4.5,9.3,24.2
200,Шоколадный соус,150,Десерт,139.9,2.8,7.7,16.0
201,Шульо мелна (блины овсяные - марийское национальное блюдо),150,Десерт,195.4,5.5,10.5,21.0
202,Яблоки в грильяже,150,Десерт,146.1,0.3,2.8,31.9
203,Яблоки в желе,150,Десерт,111.1,3.0,3.4,18.3
204,Яблоки печеные,150,Десерт,65.8,0.6,1.4,13.6
205,Яблоки печеные,150,Десерт,169.1,0.5,0.4,43.6
206,Яблоки печеные с брусникой,150,Десерт,105.8,0.3,0.3,27.2
207,Яблоки со взбитыми сливками,150,Десерт,113.9,1.9,5.0,16.4
208,"Яблоки, фаршированные морковью",150,Десерт,78.4,0.8,2.8,13.4
209,Яблочно-сливочный соус,150,Десерт,97.1,1.2,6.1,10.1
210,Яблочный крем,150,Десерт,112.8,0.6,4.7,18.2
211,Ягодный мусс,150,Десерт,167.0,1.2,0.8,41.2
212,Яичный мусс,150,Десерт,142.2,5.9,3.5,23.4
213,Бабка из черного хлеба с яблоками,150,Выпечка,189.8,2.6,9.0,26.2
214,Бабушкины Рогалики,150,Выпечка,320.8,4.5,19.6,33.7
215,Буберт из пшеничной муки,150,Выпечка,123.1,4.4,6.2,13.3
216,Ватрушки (из дрожжевого теста),150,Выпечка,319.2,13.3,11.9,42.5
217,Воздушный пирог из черники,150,Выпечка,149.9,3.2,4.2,26.4
218,Картофельное печенье,150,Выпечка,69.0,2.9,2.5,9.3
219,Картофельное суфле,150,Выпечка,108.8,5.6,6.1,8.3
220,"Кекс ""Пока гости раздеваются""",150,Выпечка,286.5,4.6,13.1,40.0
221,Кекс кондитерский,150,Выпечка,276.2,6.2,13.6,34.4
222,Кекс молдавский,150,Выпечка,271.5,5.6,8.9,45.0
223,Кекс шоколадный,150,Выпечка,356.2,6.2,20.2,39.8
224,Крокеты из манной крупы,150,Выпечка,176.9,4.6,12.2,13.1
225,Крокеты из моркови с изюмом,150,Выпечка,134.0,3.6,2.8,25.3
226,Крупеник,150,Выпечка,204.4,8.3,12.1,16.7
227,Кулебяки (из дрожжевого теста),150,Выпечка,279.0,16.2,11.7,29.0
228,Кулич пасхальный,150,Выпечка,320.5,6.8,14.4,43.8
229,Лапшевник с творогом,150,Выпечка,165.9,6.9,9.5,14.1
230,Лекех,150,Выпечка,264.2,6.8,5.2,50.9
231,Лепешки из творога и картофеля,150,Выпечка,153.8,9.3,8.9,9.9
232,Макаронник,150,Выпечка,126.6,4.1,5.6,16.0
233,Манная запеканка с вишней,150,Выпечка,102.7,3.6,3.6,14.9
234,Манник,150,Выпечка,218.4,6.2,2.4,45.9
235,Манный пудинг с абрикосами,150,Выпечка,126.1,4.4,4.4,18.5
236,Манный пудинг с грушами,150,Выпечка,115.5,3.5,3.2,19.4
237,Манный пудинг с клубникой,150,Выпечка,119.5,4.1,5.2,15.1
238,Медовик,150,Выпечка,311.0,8.3,4.9,62.3
239,Миндальный пудинг с клубникой,150,Выпечка,178.5,4.1,8.6,22.5
240,Ореховое печение,150,Выпечка,268.5,6.7,12.1,35.5
241,Печенье из картофеля с яблоками,150,Выпечка,148.0,1.9,4.5,26.7
242,Печенье из кофе,150,Выпечка,366.5,6.2,21.3,40.0
243,Печенье из творога,150,Выпечка,381.0,9.3,26.0,29.3
244,Пирог летний,150,Выпечка,238.2,9.2,8.4,33.5
245,Пирог от Анюты,150,Выпечка,312.5,9.8,15.9,34.8
246,Пирог с бананами,150,Выпечка,115.6,2.3,0.7,26.8
247,Пирог с вишнями,150,Выпечка,314.0,2.9,20.7,31.0
248,Пирог с творогом и вишней,150,Выпечка,128.2,7.7,3.7,17.0
249,Пирог с черникой,150,Выпечка,298.5,2.9,11.5,48.8
250,Пирог яблочный открытый,150,Выпечка,193.6,2.1,7.3,32.0
251,Пироги закрытые,150,Выпечка,252.4,12.1,6.6,38.7
252,Пирожки жареные из дрожжевого теста (простые с фаршем массой 75г.),150,Выпечка,339.5,13.5,17.7,33.6
253,Пирожки печеные из дрожжевого теста (простые массой 75г.),150,Выпечка,285.8,14.4,9.2,38.7
254,Пирожки печеные из пресного слоеного теста ( массой 75г.),150,Выпечка,390.5,14.4,24.5,29.9
255,Пирожки с картофелем и творогом,150,Выпечка,98.6,8.6,0.9,15.0
256,Пицца с луком и сыром,150,Выпечка,198.9,5.2,15.4,10.4
257,Пицца с помидорами и сыром,150,Выпечка,221.6,4.1,17.5,12.6
258,Пончики,150,Выпечка,328.8,6.7,14.7,45.1
259,Пшенная запеканка,150,Выпечка,246.1,7.3,5.5,44.7
260,Расстегаи московские,150,Выпечка,264.5,13.7,10.2,31.3
261,Расстегаи с мясом или рыбой,150,Выпечка,267.0,13.2,9.5,34.3
262,Ржаные лепешки,150,Выпечка,390.0,5.2,17.8,55.8
263,Рисовые омлеты с вишней,150,Выпечка,153.6,4.4,7.1,19.1
264,"Рулет ""Мираж гурмана""",150,Выпечка,305.0,5.5,14.9,39.7
265,Саварен (французский рождественский кекс),150,Выпечка,175.2,3.7,3.7,33.9
266,Свежие ягоды черники в сахаре,150,Выпечка,241.5,0.4,0.2,63.4
267,Свекла с творогом,150,Выпечка,69.5,10.1,0.9,5.5
268,Соты,150,Выпечка,360.2,3.5,26.9,27.9
269,Сочни творожные,150,Выпечка,260.8,9.4,9.8,35.9
270,Сочники с творогом,150,Выпечка,244.1,9.6,7.9,35.8
271,Сырники из творога,150,Выпечка,300.2,13.0,19.4,19.6
272,Сырные палочки,150,Выпечка,314.5,13.7,27.9,2.4
273,Творожная запеканка,150,Выпечка,239.6,8.4,6.8,38.6
274,Творожная запеканка с макаронами,150,Выпечка,228.5,11.2,9.1,27.3
275,"Творожники ""Пряженые"" (с морковью и сыром)",150,Выпечка,320.0,10.8,23.4,17.6
276,Творожно-яблочная запеканка,150,Выпечка,93.8,8.5,3.7,7.2
277,Творожно-яблочный пирог,150,Выпечка,207.2,5.1,6.2,35.0
278,Творожные шарики с яблоками,150,Выпечка,321.2,7.2,23.8,20.8
279,Торт Муравейник,150,Выпечка,452.0,4.5,29.4,45.1
280,Тыквенно-яблочная запеканка,150,Выпечка,120.2,2.5,5.9,15.3
281,Шанежки наливные с яйцами,150,Выпечка,239.8,9.1,4.0,44.7
282,Шарлотка,150,Выпечка,145.8,3.1,1.8,31.3
283,Шарлотка с яблоками,150,Выпечка,197.8,3.5,5.0,37.0
284,Яблоки в слойке,150,Выпечка,238.2,3.9,9.9,35.7
285,Яблоки в тесте жареные,150,Выпечка,220.8,3.3,8.0,36.1
286,Яблоки или груши с сиропом,150,Выпечка,105.3,0.3,0.3,27.1
287,"Яблоки, запеченные с творогом",150,Выпечка,171.4,3.7,2.9,34.7
288,"Яблоки, фаршированные рисом и орехами",150,Выпечка,151.1,3.1,8.5,16.7
289,Яблочный каравай из черствого хлеба,150,Выпечка,147.5,4.7,6.8,18.0
