,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDon,NumHAcc,pIC50
693,CHEMBL3961972,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1cccnc1,intermediate,584.0620000000001,4.485000000000004,0.0,7.0,8.18045606445813
694,CHEMBL3956918,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ncon1,intermediate,575.0110000000001,3.4730000000000016,0.0,9.0,8.769551078621726
695,CHEMBL3957316,Cc1nc(CS(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)no1,intermediate,589.038,3.7814200000000033,0.0,9.0,8.236572006437063
696,CHEMBL3971184,O=c1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)c[nH]1,intermediate,586.0340000000001,3.6372000000000018,1.0,7.0,7.7281583934635005
697,CHEMBL3948649,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cccnn1,intermediate,571.0230000000001,3.7389000000000028,0.0,8.0,8.346787486224656
698,CHEMBL3904071,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cnccn1,intermediate,571.0230000000001,3.7389000000000028,0.0,8.0,8.259637310505756
699,CHEMBL3935559,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccnnc1,intermediate,571.0230000000001,3.7389000000000028,0.0,8.0,7.991399828238082
700,CHEMBL3928118,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ncccn1,intermediate,571.0230000000001,3.7389000000000028,0.0,8.0,8.193820026016112
701,CHEMBL3900140,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccncn1,intermediate,571.0230000000001,3.7389000000000028,0.0,8.0,8.537602002101044
702,CHEMBL3909054,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cncnc1,intermediate,571.0230000000001,3.7389000000000028,0.0,8.0,7.889410289700751
703,CHEMBL3905561,COc1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)cn1,intermediate,600.061,4.352500000000004,0.0,8.0,7.782516055786093
704,CHEMBL3941787,O=c1[nH]cccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,intermediate,586.0340000000001,3.6372000000000035,1.0,7.0,8.55284196865778
705,CHEMBL3984227,Nc1ncccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,inactive,585.0500000000001,3.9261000000000035,1.0,8.0,7.7447274948966935
706,CHEMBL3629737,CC1(C)OCC2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,inactive,498.97500000000025,5.2492000000000045,0.0,5.0,7.176525770829699
707,CHEMBL3629739,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(COC3)[C@@H]1COc1c(F)ccc(F)c12,intermediate,440.89500000000015,4.496500000000004,0.0,4.0,7.995678626217358
708,CHEMBL3629738,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCC[C@]3(CCOC3)[C@@H]1COc1c(F)ccc(F)c12,inactive,454.9220000000002,4.886600000000004,0.0,4.0,7.856985199745905
709,CHEMBL3629740,O=C1OCC[C@]12CCC[C@@]1(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]21,inactive,468.9050000000002,4.413200000000004,0.0,5.0,6.642065152999546
710,CHEMBL3629742,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(CCSCC3)[C@@H]1COc1c(F)ccc(F)c12,inactive,485.0170000000002,5.993300000000005,0.0,4.0,7.578396073130169
711,CHEMBL3629741,O=S1(=O)CCC2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CC1,inactive,517.0150000000001,4.674900000000004,0.0,5.0,7.238824186844268
712,CHEMBL3629743,O=S(=O)(N1CC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)C1)C(F)(F)F,inactive,586.0000000000002,5.021600000000004,0.0,5.0,7.632644078973981
713,CHEMBL3899794,C[P@]1(=O)OC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,inactive,518.9020000000003,5.336000000000004,0.0,6.0,8.022276394711152
714,CHEMBL3936795,C[P@]1(=O)OC[C@@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,inactive,518.9020000000003,5.336000000000004,0.0,6.0,6.375717904164332
715,CHEMBL3905228,C[P@]1(=O)OC[C@@]2(CCC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,inactive,552.4540000000002,5.701400000000004,0.0,6.0,6.401209493236885
716,CHEMBL3942223,C[P@]1(=O)OC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,inactive,552.4540000000002,5.701400000000004,0.0,6.0,7.102372908709558
717,CHEMBL3629745,CP1(=O)OCC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,inactive,532.9290000000001,5.726100000000005,0.0,6.0,8.267606240177031
718,CHEMBL4059796,O=c1cc(/C=C/c2cccc(F)c2)[nH]cc1O,inactive,231.226,2.39,2.0,2.0,4.721932669111338
719,CHEMBL4077009,Cn1cc(O)c(=O)cc1/C=C/c1cccc(F)c1,inactive,245.253,2.4004000000000003,1.0,3.0,4.711303739409744
720,CHEMBL4092433,CN(C)c1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,inactive,256.30499999999995,2.3169000000000004,2.0,3.0,4.534319788401722
721,CHEMBL4074429,CCOc1ccc(/C=C/c2cc(=O)c(O)c[nH]2)cc1,intermediate,257.289,2.6496000000000004,2.0,3.0,4.630969778190847
722,CHEMBL4097746,CCOc1ccc(/C=C/c2cc(=O)c(O)cn2C)cc1,intermediate,271.316,2.660000000000001,1.0,4.0,5.048662481204082
723,CHEMBL4070599,COc1ccccc1/C=C/c1cc(=O)c(O)c[nH]1,intermediate,243.262,2.259499999999999,2.0,3.0,4.782516055786093
724,CHEMBL4086825,COc1ccccc1/C=C/c1cc(=O)c(O)cn1C,inactive,257.289,2.2699,1.0,4.0,4.903785414653595
725,CHEMBL4074006,O=c1cc(/C=C/c2ccc(O)cc2)[nH]cc1O,inactive,229.235,1.9564999999999997,3.0,3.0,4.969805214643249
726,CHEMBL4068105,Cn1cc(O)c(=O)cc1/C=C/c1ccc(O)cc1,inactive,243.262,1.9668999999999996,2.0,4.0,4.813043664534588
727,CHEMBL4095488,O=c1cc(/C=C/c2ccccc2O)[nH]cc1O,inactive,229.235,1.9564999999999997,3.0,3.0,4.662341108973858
