,Product,Portion,Category,Kkal,Protein,Fat,Carbs
369,Салат из соленых огурцов и свеклы,200,Салат,95.0,1.4,7.6,5.6
370,Салат из спаржи,200,Салат,237.5,2.1,23.9,3.6
371,Салат из стручковой фасоли,200,Салат,215.9,16.1,3.9,31.1
372,Салат из стручковой фасоли,200,Салат,132.5,2.8,10.5,7.2
373,Салат из сырой моркови и репы,200,Салат,115.9,1.5,8.8,8.2
374,Салат из сырой моркови м яблоками,200,Салат,82.2,1.2,4.8,9.1
375,Салат из сырой свеклы,200,Салат,76.7,1.2,4.7,8.0
376,Салат из сырых овощей,200,Салат,94.3,1.6,7.6,5.3
377,Салат из сырых овощей с яблоками,200,Салат,58.0,1.1,3.3,6.4
378,Салат из творога,200,Салат,246.4,12.6,19.2,6.1
379,Салат из трески с майонезом,200,Салат,184.6,9.9,15.0,2.6
380,Салат из трески с хреном,200,Салат,164.8,8.9,10.1,10.0
381,Салат из тыквы,200,Салат,73.0,0.9,6.1,3.8
382,Салат из тыквы по-чувашски,200,Салат,82.9,1.2,0.2,20.4
383,Салат из тыквы с яблоками,200,Салат,35.7,0.6,0.3,8.2
384,Салат из фасоли,200,Салат,345.2,0.9,0.9,88.9
385,Салат из фасоли,200,Салат,336.5,13.8,19.6,28.1
386,Салат из фруктов,200,Салат,95.2,0.8,4.9,12.9
387,Салат из цветной капусты,200,Салат,53.2,1.8,3.8,3.1
388,Салат из цветной капусты,200,Салат,69.1,1.2,5.7,3.5
389,"Салат из цветной капусты, свежих огурцов и помидоров",200,Салат,77.3,2.0,5.3,5.6
390,Салат из шампиньонов,200,Салат,143.1,3.9,12.5,4.0
391,Салат из щавеля,200,Салат,200.1,2.3,18.8,5.8
392,Салат из яблок и брусники,200,Салат,78.6,0.8,5.0,8.1
393,Салат из яблок и лука,200,Салат,111.1,1.0,8.3,8.6
394,Салат из яблок и моркови с орехами,200,Салат,152.6,4.1,6.8,19.9
395,Салат из яблок и помидоров,200,Салат,67.1,0.8,4.1,7.2
396,Салат из яблок и сливы,200,Салат,97.9,2.6,2.2,18.1
397,Салат из яблок и тыквы,200,Салат,36.2,0.6,0.3,8.3
398,Салат из яблок с орехами,200,Салат,75.8,1.7,0.3,17.6
399,Салат картофельный,200,Салат,127.9,2.5,6.6,15.5
400,Салат картофельный с грибами и брусникой,200,Салат,123.6,4.2,9.1,6.7
401,Салат картофельный с грибами и клюквой,200,Салат,123.6,4.2,9.1,6.7
402,Салат картофельный с яблоками,200,Салат,109.5,2.0,7.9,8.2
403,Салат любительский,200,Салат,97.3,1.5,5.5,11.2
404,Салат Муравейник,200,Салат,235.4,12.6,7.9,30.2
405,Салат мясной,200,Салат,205.1,7.1,15.5,9.9
406,Салат мясной,200,Салат,254.0,11.8,20.7,5.4
407,Салат овощной с редькой и яблоками,200,Салат,157.2,2.0,13.5,7.4
408,Салат овощной с яблоками и сладким перцем,200,Салат,123.8,1.4,10.8,5.7
409,Салат освежающий с редькой,200,Салат,47.9,1.7,0.3,10.3
410,Салат осенний,200,Салат,82.1,1.6,6.1,5.6
411,Салат по-берлински,200,Салат,219.8,1.9,21.6,4.8
412,Салат по-деревенски,200,Салат,113.7,2.6,7.2,10.1
413,Салат по-коми-пермяцки (из квашеной капусты с мясом),200,Салат,143.0,10.5,10.1,2.8
414,Салат по-французски,200,Салат,166.6,2.1,14.3,7.9
415,Салат по-чешски,200,Салат,196.6,4.2,18.4,3.8
416,Салат рыбный,200,Салат,153.2,6.4,12.4,4.4
417,Салат рыбный,200,Салат,204.2,12.1,15.7,3.9
418,Салат рыбный с морской капустой,200,Салат,119.0,8.8,7.5,4.2
419,Салат с кальмарами,200,Салат,0.0,0.0,0.0,0.0
420,Салат с колбасой,200,Салат,182.5,4.0,14.8,8.9
421,Салат с копченой треской,200,Салат,122.2,6.9,8.8,4.0
422,Салат с креветками,200,Салат,250.9,7.7,23.3,2.7
423,Салат с кукурузой,200,Салат,320.0,7.4,22.5,23.4
424,Салат с маслом и уксусом,200,Салат,167.2,1.4,15.8,5.1
425,Салат с сардинами,200,Салат,85.1,6.1,2.6,10.0
426,Салат с сельдереем и творогом,200,Салат,0.0,0.0,0.0,0.0
427,Салат сезонный,200,Салат,129.8,2.1,10.1,8.2
428,Салат со сметаной и яйцом,200,Салат,81.4,1.8,7.0,3.0
429,Салат столичный,200,Салат,325.2,15.9,27.8,3.0
430,Салат фруктовый со сметанным соусом,200,Салат,137.8,1.1,7.9,16.6
431,Салат яичный,200,Салат,214.2,7.3,19.5,2.6
432,"Салат-коктейль ""Экзотик""",200,Салат,0.0,0.0,0.0,0.0
433,Салат-коктейль овощной,200,Салат,147.4,1.8,12.8,6.6
434,Салат-коктейль рыбный,200,Салат,217.6,13.9,17.3,1.7
435,Салат-коктейль с ветчиной и сыром,200,Салат,273.5,12.4,23.8,2.6
436,Салат-коктейль с курицей и фруктами,200,Салат,245.1,10.3,19.1,8.6
437,Свекла в сладком маринаде,200,Салат,48.6,0.4,0.04,12.4
438,Свекла с клюквой,200,Салат,103.7,1.5,6.2,11.2
439,"Селедка ""под шубой""",200,Салат,209.5,8.0,18.2,3.7
440,Сельдь протертая с маслом,200,Салат,319.0,16.1,26.4,4.4
441,Сыр картофельный,200,Салат,154.6,9.1,9.6,8.5
442,Сыр слоеный,200,Салат,196.1,16.0,14.2,1.1
443,Сырный салат,200,Салат,153.4,5.6,11.6,7.2
444,Сырный салат,200,Салат,0.0,0.0,0.0,0.0
445,Фальшивый Оливье,200,Салат,167.0,11.1,8.8,11.5
446,Черемша с маслом (национальное блюдо народов Севера),200,Салат,124.3,3.4,8.7,8.6
447,Яблочный салат с сельдереем и помидорами.,200,Салат,0.0,0.0,0.0,0.0
448,Яичный салат,200,Салат,181.8,9.7,15.1,1.9
