Product,Recipe,Category,Choise,Level,Time,Portion,Kkal,Protein,Fat,Carbs,A,B1,B2,B4,B5,B6,B9,B12,C,D,E,H,K,PP,Kali,Ca,Si,Mg,Na,P,Cl,Fe,I,Co,Mn,Cu,Mo,Se,F,Cr,Zn
Греча," ????????? ????? - 50?, ???? - 400?, ??? - 1 ???????? ?????, ???? - 0.5 ???????? ?????. ? ??????? ???? ???????? ???, ????, ?????? ??????????? ?????? ? ?????????. ?????? ? ??????? ?????? ??????? ???????, ????????? ? ??????? ??????? ? ?????????? ?????? ?? ?????? ???? ?? ??? ???, ???? ?????? ?? ?????? ??????.",каша,easy,1,30,150,98.7,3.6,2.2,17.1,0.2,6.7,2.8,0,0,5,2.1,0,0,0,11,0,0,8.5,4.5,0.8,77,14,0.3,10,19,11,0.6,10,22,19,15,0,0.2,2.2,4.9
Морковь,"??????? - 100?, ????? ????????? - 0.5 ???????? ?????, ?????? ??????? - 200 ?, ?????? ????? - 3 ???????? ?????, ???? - 0.5 ???????? ?????, ????? - 0.5 ???????? ?????. ????????? ??????? ???????? ?? ?????, ?????? ? ??????, ???????? ??????, ??????? ?? ???????, ??????? ?????, ????, ????? ? ?????? ?????????.",каша,молоко,1,30,200,97.3,2.7,5.6,9.7,189,2.7,5.6,3,6,3,1.5,10,1.2,0.4,2.7,4,0,3.7,5.6,8.2,1,4.4,3,9,13,1.7,4.4,22,3.4,2.8,12,2.2,0.6,3.8,3
